time,duration,string,fret,finger,finger_name
49.050000,0.15,3,4,1,Pointer
49.200000,0.15,5,7,3,Ring
49.350000,0.15,4,6,2,Middle
49.500000,0.15,3,4,1,Pointer
49.650000,0.15,4,6,2,Middle
49.800000,0.09999999999999999,3,4,1,Pointer
49.900000,0.09999999999999999,3,6,2,Middle
50.000000,0.09999999999999999,3,4,1,Pointer
50.100000,0.15,4,6,2,Middle
50.250000,0.15,3,4,1,Pointer
50.400000,0.15,6,7,3,Ring
50.550000,0.15,5,6,2,Middle
50.700000,0.15,4,4,1,Pointer
50.850000,0.15,5,6,2,Middle
51.000000,0.09999999999999999,4,4,1,Pointer
51.100000,0.09999999999999999,4,6,2,Middle
51.200000,0.09999999999999999,4,4,1,Pointer
51.300000,0.15,5,6,2,Middle
51.450000,0.15,4,4,1,Pointer
51.600000,0.15,5,9,4,Pinky
51.750000,0.15,4,8,3,Ring
51.900000,0.15,3,6,2,Middle
52.050000,0.15,4,8,3,Ring
52.200000,0.09999999999999999,3,6,2,Middle
52.300000,0.09999999999999999,3,8,3,Ring
52.400000,0.09999999999999999,3,6,2,Middle
52.500000,0.15,4,8,3,Ring
52.650000,0.15,3,6,2,Middle
52.800000,0.15,5,6,2,Middle
52.950000,0.15,4,6,2,Middle
53.100000,0.15,3,4,1,Pointer
53.250000,0.15,4,6,2,Middle
53.400000,0.09999999999999999,3,4,1,Pointer
53.500000,0.09999999999999999,3,6,2,Middle
53.600000,0.09999999999999999,3,4,1,Pointer
53.700000,0.15,4,6,2,Middle
53.850000,0.15,3,4,1,Pointer
54.000000,0.15,5,7,3,Ring
54.150000,0.15,4,6,2,Middle
54.300000,0.15,3,4,1,Pointer
54.450000,0.15,4,6,2,Middle
54.600000,0.09999999999999999,3,4,1,Pointer
54.700000,0.09999999999999999,3,6,2,Middle
54.800000,0.09999999999999999,3,4,1,Pointer
54.900000,0.15,4,6,2,Middle
55.050000,0.15,3,4,1,Pointer
55.200000,0.15,6,7,3,Ring
55.350000,0.15,5,6,2,Middle
55.500000,0.15,4,4,1,Pointer
55.650000,0.15,5,6,2,Middle
55.800000,0.09999999999999999,4,4,1,Pointer
55.900000,0.09999999999999999,4,6,2,Middle
56.000000,0.09999999999999999,4,4,1,Pointer
56.100000,0.15,5,6,2,Middle
56.250000,0.15,4,4,1,Pointer
56.400000,0.15,6,6,2,Middle
56.550000,0.15,5,4,1,Pointer
56.700000,0.15,4,4,1,Pointer
56.850000,0.15,5,4,1,Pointer
57.000000,0.09999999999999999,4,4,1,Pointer
57.100000,0.09999999999999999,4,6,2,Middle
57.200000,0.09999999999999999,4,4,1,Pointer
57.300000,0.15,5,4,1,Pointer
57.450000,0.15,4,4,1,Pointer
57.600000,0.15,5,6,2,Middle
57.750000,0.15,4,6,2,Middle
57.900000,0.15,3,4,1,Pointer
58.050000,0.15,4,6,2,Middle
58.200000,0.09999999999999999,3,4,1,Pointer
58.300000,0.09999999999999999,3,6,2,Middle
58.400000,0.09999999999999999,3,4,1,Pointer
58.500000,0.15,4,6,2,Middle
58.650000,0.15,3,4,1,Pointer
58.800000,0.15,5,7,3,Ring
58.950000,0.15,4,6,2,Middle
59.100000,0.15,3,4,1,Pointer
59.250000,0.15,4,6,2,Middle
59.400000,0.09999999999999999,3,4,1,Pointer
59.500000,0.09999999999999999,3,6,2,Middle
59.600000,0.09999999999999999,3,4,1,Pointer
59.700000,0.15,4,6,2,Middle
59.850000,0.15,3,4,1,Pointer
60.000000,0.15,6,7,3,Ring
60.150000,0.15,5,6,2,Middle
60.300000,0.15,4,4,1,Pointer
60.450000,0.15,5,6,2,Middle
60.600000,0.09999999999999999,4,4,1,Pointer
60.700000,0.09999999999999999,4,6,2,Middle
60.800000,0.09999999999999999,4,4,1,Pointer
60.900000,0.15,5,6,2,Middle
61.050000,0.15,4,4,1,Pointer
61.200000,0.15,5,9,4,Pinky
61.350000,0.15,4,8,3,Ring
61.500000,0.15,3,6,2,Middle
61.650000,0.15,4,8,3,Ring
61.800000,0.09999999999999999,3,6,2,Middle
61.900000,0.09999999999999999,3,8,3,Ring
62.000000,0.09999999999999999,3,6,2,Middle
62.100000,0.15,4,8,3,Ring
62.250000,0.15,3,6,2,Middle
62.400000,0.15,5,6,2,Middle
62.550000,0.15,4,6,2,Middle
62.700000,0.15,3,4,1,Pointer
62.850000,0.15,4,6,2,Middle
63.000000,0.09999999999999999,3,4,1,Pointer
63.100000,0.09999999999999999,3,6,2,Middle
63.200000,0.09999999999999999,3,4,1,Pointer
63.300000,0.15,4,6,2,Middle
63.450000,0.15,3,4,1,Pointer
63.600000,0.15,5,7,3,Ring
63.750000,0.15,4,6,2,Middle
63.900000,0.15,3,4,1,Pointer
64.050000,0.15,4,6,2,Middle
64.200000,0.09999999999999999,3,4,1,Pointer
64.300000,0.09999999999999999,3,6,2,Middle
64.400000,0.09999999999999999,3,4,1,Pointer
64.500000,0.15,4,6,2,Middle
64.650000,0.15,3,4,1,Pointer
64.800000,0.15,6,7,3,Ring
64.950000,0.15,5,6,2,Middle
65.100000,0.15,4,4,1,Pointer
65.250000,0.15,5,6,2,Middle
65.400000,0.09999999999999999,4,4,1,Pointer
65.500000,0.09999999999999999,4,6,2,Middle
65.600000,0.09999999999999999,4,4,1,Pointer
65.700000,0.15,5,6,2,Middle
65.850000,0.15,4,4,1,Pointer
66.000000,0.15,6,6,2,Middle
66.150000,0.15,5,4,1,Pointer
66.300000,0.15,4,4,1,Pointer
66.450000,0.15,5,4,1,Pointer
66.600000,0.09999999999999999,4,4,1,Pointer
66.700000,0.09999999999999999,4,6,2,Middle
66.800000,0.09999999999999999,4,4,1,Pointer
66.900000,0.15,5,4,1,Pointer
67.050000,0.15,4,4,1,Pointer
67.200000,0.15,5,6,2,Middle
67.350000,0.15,4,6,2,Middle
67.500000,0.15,3,4,1,Pointer
67.650000,0.15,4,6,2,Middle
67.800000,0.09999999999999999,3,4,1,Pointer
67.900000,0.09999999999999999,3,6,2,Middle
68.000000,0.09999999999999999,3,4,1,Pointer
68.100000,0.15,4,6,2,Middle
68.250000,0.15,3,4,1,Pointer
68.400000,0.15,5,7,3,Ring
68.550000,0.15,4,6,2,Middle
68.700000,0.15,3,4,1,Pointer
68.850000,0.15,4,6,2,Middle
69.000000,0.09999999999999999,3,4,1,Pointer
69.100000,0.09999999999999999,3,6,2,Middle
69.200000,0.09999999999999999,3,4,1,Pointer
69.300000,0.15,4,6,2,Middle
69.450000,0.15,3,4,1,Pointer
69.600000,0.15,6,7,3,Ring
69.750000,0.15,5,6,2,Middle
69.900000,0.15,4,4,1,Pointer
70.050000,0.15,5,6,2,Middle
70.200000,0.09999999999999999,4,4,1,Pointer
70.300000,0.09999999999999999,4,6,2,Middle
70.400000,0.09999999999999999,4,4,1,Pointer
70.500000,0.15,5,6,2,Middle
70.650000,0.15,4,4,1,Pointer
70.800000,0.15,5,9,4,Pinky
70.950000,0.15,4,8,3,Ring
71.100000,0.15,3,6,2,Middle
71.250000,0.15,4,8,3,Ring
71.400000,0.09999999999999999,3,6,2,Middle
71.500000,0.09999999999999999,3,8,3,Ring
71.600000,0.09999999999999999,3,6,2,Middle
71.700000,0.15,4,8,3,Ring
71.850000,0.15,3,6,2,Middle
72.000000,0.15,5,6,2,Middle
72.150000,0.15,4,6,2,Middle
72.300000,0.15,3,4,1,Pointer
72.450000,0.15,4,6,2,Middle
72.600000,0.09999999999999999,3,4,1,Pointer
72.700000,0.09999999999999999,3,6,2,Middle
72.800000,0.09999999999999999,3,4,1,Pointer
72.900000,0.15,4,6,2,Middle
73.050000,0.15,3,4,1,Pointer
73.200000,0.15,5,7,3,Ring
73.350000,0.15,4,6,2,Middle
73.500000,0.15,3,4,1,Pointer
73.650000,0.15,4,6,2,Middle
73.800000,0.09999999999999999,3,4,1,Pointer
73.900000,0.09999999999999999,3,6,2,Middle
74.000000,0.09999999999999999,3,4,1,Pointer
74.100000,0.15,4,6,2,Middle
74.250000,0.15,3,4,1,Pointer
74.400000,0.15,6,7,3,Ring
74.550000,0.15,5,6,2,Middle
74.700000,0.15,4,4,1,Pointer
74.850000,0.15,5,6,2,Middle
75.000000,0.09999999999999999,4,4,1,Pointer
75.100000,0.09999999999999999,4,6,2,Middle
75.200000,0.09999999999999999,4,4,1,Pointer
75.300000,0.15,5,6,2,Middle
75.450000,0.15,4,4,1,Pointer
75.600000,0.15,6,6,2,Middle
75.750000,0.15,5,4,1,Pointer
75.900000,0.15,4,4,1,Pointer
76.050000,0.15,5,4,1,Pointer
76.200000,0.09999999999999999,4,4,1,Pointer
76.300000,0.09999999999999999,4,6,2,Middle
76.400000,0.09999999999999999,4,4,1,Pointer
76.500000,0.15,5,4,1,Pointer
76.650000,0.15,4,4,1,Pointer
