time,duration,string,fret,finger
12.700000,0.09999999999999999,4,6,2
12.800000,0.09999999999999999,4,4,1
12.900000,0.15,5,6,2
13.050000,0.15,4,4,1
13.200000,0.15,5,9,4
13.350000,0.15,4,8,3
13.500000,0.15,3,6,2
13.650000,0.15,4,8,3
13.800000,0.09999999999999999,3,6,2
13.900000,0.09999999999999999,3,8,3
14.000000,0.09999999999999999,3,6,2
14.100000,0.15,4,8,3
14.250000,0.15,3,6,2
14.400000,0.15,5,6,2
14.550000,0.15,4,6,2
14.700000,0.15,3,4,1
14.850000,0.15,4,6,2
15.000000,0.09999999999999999,3,4,1
15.100000,0.09999999999999999,3,6,2
15.200000,0.09999999999999999,3,4,1
15.300000,0.15,4,6,2
15.450000,0.15,3,4,1
15.600000,0.15,5,7,3
15.750000,0.15,4,6,2
15.900000,0.15,3,4,1
16.050000,0.15,4,6,2
16.200000,0.09999999999999999,3,4,1
16.300000,0.09999999999999999,3,6,2
16.400000,0.09999999999999999,3,4,1
16.500000,0.15,4,6,2
16.650000,0.15,3,4,1
16.800000,0.15,6,7,3
16.950000,0.15,5,6,2
17.100000,0.15,4,4,1
17.250000,0.15,5,6,2
17.400000,0.09999999999999999,4,4,1
17.500000,0.09999999999999999,4,6,2
17.600000,0.09999999999999999,4,4,1
17.700000,0.15,5,6,2
17.850000,0.15,4,4,1
18.000000,0.15,6,6,2
18.150000,0.15,5,4,1
18.300000,0.15,4,4,1
18.450000,0.15,5,4,1
18.600000,0.09999999999999999,4,4,1
18.700000,0.09999999999999999,4,6,2
18.800000,0.09999999999999999,4,4,1
18.900000,0.15,5,4,1
19.050000,0.15,4,4,1
19.200000,0.15,5,6,2
19.350000,0.15,4,6,2
19.500000,0.15,3,4,1
19.650000,0.15,4,6,2
19.800000,0.09999999999999999,3,4,1
19.900000,0.09999999999999999,3,6,2
20.000000,0.09999999999999999,3,4,1
20.100000,0.15,4,6,2
20.250000,0.15,3,4,1
20.400000,0.15,5,7,3
20.550000,0.15,4,6,2
20.700000,0.15,3,4,1
20.850000,0.15,4,6,2
21.000000,0.09999999999999999,3,4,1
21.100000,0.09999999999999999,3,6,2
21.200000,0.09999999999999999,3,4,1
21.300000,0.15,4,6,2
21.450000,0.15,3,4,1
21.600000,0.15,6,7,3
21.750000,0.15,5,6,2
21.900000,0.15,4,4,1
22.050000,0.15,5,6,2
22.200000,0.09999999999999999,4,4,1
22.300000,0.09999999999999999,4,6,2
22.400000,0.09999999999999999,4,4,1
22.500000,0.15,5,6,2
22.650000,0.15,4,4,1
22.800000,0.15,5,9,4
22.950000,0.15,4,8,3
23.100000,0.15,3,6,2
23.250000,0.15,4,8,3
23.400000,0.09999999999999999,3,6,2
23.500000,0.09999999999999999,3,8,3
23.600000,0.09999999999999999,3,6,2
23.700000,0.15,4,8,3
23.850000,0.15,3,6,2
24.000000,0.15,5,6,2
24.150000,0.15,4,6,2
24.300000,0.15,3,4,1
24.450000,0.15,4,6,2
24.600000,0.09999999999999999,3,4,1
24.700000,0.09999999999999999,3,6,2
24.800000,0.09999999999999999,3,4,1
24.900000,0.15,4,6,2
25.050000,0.15,3,4,1
25.200000,0.15,5,7,3
25.350000,0.15,4,6,2
25.500000,0.15,3,4,1
25.650000,0.15,4,6,2
25.800000,0.09999999999999999,3,4,1
25.900000,0.09999999999999999,3,6,2
26.000000,0.09999999999999999,3,4,1
26.100000,0.15,4,6,2
26.250000,0.15,3,4,1
26.400000,0.15,6,7,3
26.550000,0.15,5,6,2
26.700000,0.15,4,4,1
26.850000,0.15,5,6,2
27.000000,0.09999999999999999,4,4,1
27.100000,0.09999999999999999,4,6,2
27.200000,0.09999999999999999,4,4,1
27.300000,0.15,5,6,2
27.450000,0.15,4,4,1
27.600000,0.15,6,6,2
27.750000,0.15,5,4,1
27.900000,0.15,4,4,1
28.050000,0.15,5,4,1
28.200000,0.09999999999999999,4,4,1
28.300000,0.09999999999999999,4,6,2
28.400000,0.09999999999999999,4,4,1
28.500000,0.15,5,4,1
28.650000,0.15,4,4,1
28.800000,0.15,5,6,2
28.950000,0.15,4,6,2
29.100000,0.15,3,4,1
29.250000,0.15,4,6,2
29.400000,0.09999999999999999,3,4,1
29.500000,0.09999999999999999,3,6,2
29.600000,0.09999999999999999,3,4,1
29.700000,0.15,4,6,2
29.850000,0.15,3,4,1
30.000000,0.15,5,7,3
30.150000,0.15,4,6,2
30.300000,0.15,3,4,1
30.450000,0.15,4,6,2
30.600000,0.09999999999999999,3,4,1
30.700000,0.09999999999999999,3,6,2
30.800000,0.09999999999999999,3,4,1
30.900000,0.15,4,6,2
31.050000,0.15,3,4,1
31.200000,0.15,6,7,3
31.350000,0.15,5,6,2
31.500000,0.15,4,4,1
31.650000,0.15,5,6,2
31.800000,0.09999999999999999,4,4,1
31.900000,0.09999999999999999,4,6,2
32.000000,0.09999999999999999,4,4,1
32.100000,0.15,5,6,2
32.250000,0.15,4,4,1
32.400000,0.15,5,9,4
32.550000,0.15,4,8,3
32.700000,0.15,3,6,2
32.850000,0.15,4,8,3
33.000000,0.09999999999999999,3,6,2
33.100000,0.09999999999999999,3,8,3
33.200000,0.09999999999999999,3,6,2
33.300000,0.15,4,8,3
33.450000,0.15,3,6,2
33.600000,0.15,5,6,2
33.750000,0.15,4,6,2
33.900000,0.15,3,4,1
34.050000,0.15,4,6,2
34.200000,0.09999999999999999,3,4,1
34.300000,0.09999999999999999,3,6,2
34.400000,0.09999999999999999,3,4,1
34.500000,0.15,4,6,2
34.650000,0.15,3,4,1
34.800000,0.15,5,7,3
34.950000,0.15,4,6,2
35.100000,0.15,3,4,1
35.250000,0.15,4,6,2
35.400000,0.09999999999999999,3,4,1
35.500000,0.09999999999999999,3,6,2
35.600000,0.09999999999999999,3,4,1
35.700000,0.15,4,6,2
35.850000,0.15,3,4,1
36.000000,0.15,6,7,3
36.150000,0.15,5,6,2
36.300000,0.15,4,4,1
36.450000,0.15,5,6,2
36.600000,0.09999999999999999,4,4,1
36.700000,0.09999999999999999,4,6,2
36.800000,0.09999999999999999,4,4,1
36.900000,0.15,5,6,2
37.050000,0.15,4,4,1
37.200000,0.15,6,6,2
37.350000,0.15,5,4,1
37.500000,0.15,4,4,1
37.650000,0.15,5,4,1
37.800000,0.09999999999999999,4,4,1
37.900000,0.09999999999999999,4,6,2
38.000000,0.09999999999999999,4,4,1
38.100000,0.15,5,4,1
38.250000,0.15,4,4,1
38.400000,0.15,5,6,2
38.550000,0.15,4,6,2
38.700000,0.15,3,4,1
38.850000,0.15,4,6,2
39.000000,0.09999999999999999,3,4,1
39.100000,0.09999999999999999,3,6,2
39.200000,0.09999999999999999,3,4,1
39.300000,0.15,4,6,2
39.450000,0.15,3,4,1
39.600000,0.15,5,7,3
39.750000,0.15,4,6,2
39.900000,0.15,3,4,1
40.050000,0.15,4,6,2
40.200000,0.09999999999999999,3,4,1
40.300000,0.09999999999999999,3,6,2
40.400000,0.09999999999999999,3,4,1
40.500000,0.15,4,6,2
40.650000,0.15,3,4,1
40.800000,0.15,6,7,3
40.950000,0.15,5,6,2
41.100000,0.15,4,4,1
41.250000,0.15,5,6,2
41.400000,0.09999999999999999,4,4,1
41.500000,0.09999999999999999,4,6,2
41.600000,0.09999999999999999,4,4,1
41.700000,0.15,5,6,2
41.850000,0.15,4,4,1
42.000000,0.15,5,9,4
42.150000,0.15,4,8,3
42.300000,0.15,3,6,2
42.450000,0.15,4,8,3
42.600000,0.09999999999999999,3,6,2
42.700000,0.09999999999999999,3,8,3
42.800000,0.09999999999999999,3,6,2
42.900000,0.15,4,8,3
43.050000,0.15,3,6,2
43.200000,0.15,5,6,2
43.350000,0.15,4,6,2
43.500000,0.15,3,4,1
43.650000,0.15,4,6,2
43.800000,0.09999999999999999,3,4,1
43.900000,0.09999999999999999,3,6,2
44.000000,0.09999999999999999,3,4,1
44.100000,0.15,4,6,2
44.250000,0.15,3,4,1
44.400000,0.15,5,7,3
44.550000,0.15,4,6,2
44.700000,0.15,3,4,1
44.850000,0.15,4,6,2
45.000000,0.09999999999999999,3,4,1
45.100000,0.09999999999999999,3,6,2
45.200000,0.09999999999999999,3,4,1
45.300000,0.15,4,6,2
45.450000,0.15,3,4,1
45.600000,0.15,6,7,3
45.750000,0.15,5,6,2
45.900000,0.15,4,4,1
46.050000,0.15,5,6,2
46.200000,0.09999999999999999,4,4,1
46.300000,0.09999999999999999,4,6,2
46.400000,0.09999999999999999,4,4,1
46.500000,0.15,5,6,2
46.650000,0.15,4,4,1
46.800000,0.15,6,6,2
46.950000,0.15,5,4,1
47.100000,0.15,4,4,1
47.250000,0.15,5,4,1
47.400000,0.09999999999999999,4,4,1
47.500000,0.09999999999999999,4,6,2
47.600000,0.09999999999999999,4,4,1
47.700000,0.15,5,4,1
47.850000,0.15,4,4,1
48.000000,0.15,5,6,2
48.150000,0.15,4,6,2
48.300000,0.15,3,4,1
48.450000,0.15,4,6,2
48.600000,0.09999999999999999,3,4,1
48.700000,0.09999999999999999,3,6,2
48.800000,0.09999999999999999,3,4,1
48.900000,0.15,4,6,2
49.050000,0.15,3,4,1
49.200000,0.15,5,7,3
49.350000,0.15,4,6,2
49.500000,0.15,3,4,1
49.650000,0.15,4,6,2
49.800000,0.09999999999999999,3,4,1
49.900000,0.09999999999999999,3,6,2
50.000000,0.09999999999999999,3,4,1
50.100000,0.15,4,6,2
50.250000,0.15,3,4,1
50.400000,0.15,6,7,3
50.550000,0.15,5,6,2
50.700000,0.15,4,4,1
50.850000,0.15,5,6,2
51.000000,0.09999999999999999,4,4,1
51.100000,0.09999999999999999,4,6,2
51.200000,0.09999999999999999,4,4,1
51.300000,0.15,5,6,2
51.450000,0.15,4,4,1
51.600000,0.15,5,9,4
51.750000,0.15,4,8,3
51.900000,0.15,3,6,2
52.050000,0.15,4,8,3
52.200000,0.09999999999999999,3,6,2
52.300000,0.09999999999999999,3,8,3
52.400000,0.09999999999999999,3,6,2
52.500000,0.15,4,8,3
52.650000,0.15,3,6,2
52.800000,0.15,5,6,2
52.950000,0.15,4,6,2
53.100000,0.15,3,4,1
53.250000,0.15,4,6,2
53.400000,0.09999999999999999,3,4,1
53.500000,0.09999999999999999,3,6,2
53.600000,0.09999999999999999,3,4,1
53.700000,0.15,4,6,2
53.850000,0.15,3,4,1
54.000000,0.15,5,7,3
54.150000,0.15,4,6,2
54.300000,0.15,3,4,1
54.450000,0.15,4,6,2
54.600000,0.09999999999999999,3,4,1
54.700000,0.09999999999999999,3,6,2
54.800000,0.09999999999999999,3,4,1
54.900000,0.15,4,6,2
55.050000,0.15,3,4,1
55.200000,0.15,6,7,3
55.350000,0.15,5,6,2
55.500000,0.15,4,4,1
55.650000,0.15,5,6,2
55.800000,0.09999999999999999,4,4,1
55.900000,0.09999999999999999,4,6,2
56.000000,0.09999999999999999,4,4,1
56.100000,0.15,5,6,2
56.250000,0.15,4,4,1
56.400000,0.15,6,6,2
56.550000,0.15,5,4,1
56.700000,0.15,4,4,1
56.850000,0.15,5,4,1
57.000000,0.09999999999999999,4,4,1
57.100000,0.09999999999999999,4,6,2
57.200000,0.09999999999999999,4,4,1
57.300000,0.15,5,4,1
57.450000,0.15,4,4,1
57.600000,0.15,5,6,2
57.750000,0.15,4,6,2
57.900000,0.15,3,4,1
58.050000,0.15,4,6,2
58.200000,0.09999999999999999,3,4,1
58.300000,0.09999999999999999,3,6,2
58.400000,0.09999999999999999,3,4,1
58.500000,0.15,4,6,2
58.650000,0.15,3,4,1
58.800000,0.15,5,7,3
58.950000,0.15,4,6,2
59.100000,0.15,3,4,1
59.250000,0.15,4,6,2
59.400000,0.09999999999999999,3,4,1
59.500000,0.09999999999999999,3,6,2
59.600000,0.09999999999999999,3,4,1
59.700000,0.15,4,6,2
59.850000,0.15,3,4,1
60.000000,0.15,6,7,3
60.150000,0.15,5,6,2
60.300000,0.15,4,4,1
60.450000,0.15,5,6,2
60.600000,0.09999999999999999,4,4,1
60.700000,0.09999999999999999,4,6,2
60.800000,0.09999999999999999,4,4,1
60.900000,0.15,5,6,2
61.050000,0.15,4,4,1
61.200000,0.15,5,9,4
61.350000,0.15,4,8,3
61.500000,0.15,3,6,2
61.650000,0.15,4,8,3
61.800000,0.09999999999999999,3,6,2
61.900000,0.09999999999999999,3,8,3
62.000000,0.09999999999999999,3,6,2
62.100000,0.15,4,8,3
62.250000,0.15,3,6,2
62.400000,0.15,5,6,2
62.550000,0.15,4,6,2
62.700000,0.15,3,4,1
62.850000,0.15,4,6,2
63.000000,0.09999999999999999,3,4,1
63.100000,0.09999999999999999,3,6,2
63.200000,0.09999999999999999,3,4,1
63.300000,0.15,4,6,2
63.450000,0.15,3,4,1
63.600000,0.15,5,7,3
63.750000,0.15,4,6,2
63.900000,0.15,3,4,1
64.050000,0.15,4,6,2
64.200000,0.09999999999999999,3,4,1
64.300000,0.09999999999999999,3,6,2
64.400000,0.09999999999999999,3,4,1
64.500000,0.15,4,6,2
64.650000,0.15,3,4,1
64.800000,0.15,6,7,3
64.950000,0.15,5,6,2
65.100000,0.15,4,4,1
65.250000,0.15,5,6,2
65.400000,0.09999999999999999,4,4,1
65.500000,0.09999999999999999,4,6,2
65.600000,0.09999999999999999,4,4,1
65.700000,0.15,5,6,2
65.850000,0.15,4,4,1
66.000000,0.15,6,6,2
66.150000,0.15,5,4,1
66.300000,0.15,4,4,1
66.450000,0.15,5,4,1
66.600000,0.09999999999999999,4,4,1
66.700000,0.09999999999999999,4,6,2
66.800000,0.09999999999999999,4,4,1
66.900000,0.15,5,4,1
67.050000,0.15,4,4,1
67.200000,0.15,5,6,2
67.350000,0.15,4,6,2
67.500000,0.15,3,4,1
67.650000,0.15,4,6,2
67.800000,0.09999999999999999,3,4,1
67.900000,0.09999999999999999,3,6,2
68.000000,0.09999999999999999,3,4,1
68.100000,0.15,4,6,2
68.250000,0.15,3,4,1
68.400000,0.15,5,7,3
68.550000,0.15,4,6,2
68.700000,0.15,3,4,1
68.850000,0.15,4,6,2
69.000000,0.09999999999999999,3,4,1
69.100000,0.09999999999999999,3,6,2
69.200000,0.09999999999999999,3,4,1
69.300000,0.15,4,6,2
69.450000,0.15,3,4,1
69.600000,0.15,6,7,3
69.750000,0.15,5,6,2
69.900000,0.15,4,4,1
70.050000,0.15,5,6,2
70.200000,0.09999999999999999,4,4,1
70.300000,0.09999999999999999,4,6,2
70.400000,0.09999999999999999,4,4,1
70.500000,0.15,5,6,2
70.650000,0.15,4,4,1
70.800000,0.15,5,9,4
70.950000,0.15,4,8,3
71.100000,0.15,3,6,2
71.250000,0.15,4,8,3
71.400000,0.09999999999999999,3,6,2
71.500000,0.09999999999999999,3,8,3
71.600000,0.09999999999999999,3,6,2
71.700000,0.15,4,8,3
71.850000,0.15,3,6,2
72.000000,0.15,5,6,2
72.150000,0.15,4,6,2
72.300000,0.15,3,4,1
72.450000,0.15,4,6,2
72.600000,0.09999999999999999,3,4,1
72.700000,0.09999999999999999,3,6,2
72.800000,0.09999999999999999,3,4,1
72.900000,0.15,4,6,2
73.050000,0.15,3,4,1
73.200000,0.15,5,7,3
73.350000,0.15,4,6,2
73.500000,0.15,3,4,1
73.650000,0.15,4,6,2
73.800000,0.09999999999999999,3,4,1
73.900000,0.09999999999999999,3,6,2
74.000000,0.09999999999999999,3,4,1
74.100000,0.15,4,6,2
74.250000,0.15,3,4,1
74.400000,0.15,6,7,3
74.550000,0.15,5,6,2
74.700000,0.15,4,4,1
74.850000,0.15,5,6,2
75.000000,0.09999999999999999,4,4,1
75.100000,0.09999999999999999,4,6,2
75.200000,0.09999999999999999,4,4,1
75.300000,0.15,5,6,2
75.450000,0.15,4,4,1
75.600000,0.15,6,6,2
75.750000,0.15,5,4,1
75.900000,0.15,4,4,1
76.050000,0.15,5,4,1
76.200000,0.09999999999999999,4,4,1
76.300000,0.09999999999999999,4,6,2
76.400000,0.09999999999999999,4,4,1
76.500000,0.15,5,4,1
76.650000,0.15,4,4,1
76.800000,0.15,5,6,2
76.950000,0.15,4,6,2
77.100000,0.15,3,4,1
77.250000,0.15,4,6,2
77.400000,0.09999999999999999,3,4,1
77.500000,0.09999999999999999,3,6,2
77.600000,0.09999999999999999,3,4,1
77.700000,0.15,4,6,2
77.850000,0.15,3,4,1
78.000000,0.15,5,7,3
78.150000,0.15,4,6,2
78.300000,0.15,3,4,1
78.450000,0.15,4,6,2
78.600000,0.09999999999999999,3,4,1
78.700000,0.09999999999999999,3,6,2
78.800000,0.09999999999999999,3,4,1
78.900000,0.15,4,6,2
79.050000,0.15,3,4,1
79.200000,0.15,6,7,3
79.350000,0.15,5,6,2
79.500000,0.15,4,4,1
79.650000,0.15,5,6,2
79.800000,0.09999999999999999,4,4,1
79.900000,0.09999999999999999,4,6,2
80.000000,0.09999999999999999,4,4,1
80.100000,0.15,5,6,2
80.250000,0.15,4,4,1
80.400000,0.15,5,9,4
80.550000,0.15,4,8,3
80.700000,0.15,3,6,2
80.850000,0.15,4,8,3
81.000000,0.09999999999999999,3,6,2
81.100000,0.09999999999999999,3,8,3
81.200000,0.09999999999999999,3,6,2
81.300000,0.15,4,8,3
81.450000,0.15,3,6,2
81.600000,0.15,5,6,2
81.750000,0.15,4,6,2
81.900000,0.15,3,4,1
82.050000,0.15,4,6,2
82.200000,0.09999999999999999,3,4,1
82.300000,0.09999999999999999,3,6,2
82.400000,0.09999999999999999,3,4,1
82.500000,0.15,4,6,2
82.650000,0.15,3,4,1
82.800000,0.15,5,7,3
82.950000,0.15,4,6,2
83.100000,0.15,3,4,1
83.250000,0.15,4,6,2
83.400000,0.09999999999999999,3,4,1
83.500000,0.09999999999999999,3,6,2
83.600000,0.09999999999999999,3,4,1
83.700000,0.15,4,6,2
83.850000,0.15,3,4,1
84.000000,0.15,6,7,3
84.150000,0.15,5,6,2
84.300000,0.15,4,4,1
84.450000,0.15,5,6,2
84.600000,0.09999999999999999,4,4,1
84.700000,0.09999999999999999,4,6,2
84.800000,0.09999999999999999,4,4,1
84.900000,0.15,5,6,2
85.050000,0.15,4,4,1
85.200000,0.15,6,6,2
85.350000,0.15,5,4,1
85.500000,0.15,4,4,1
85.650000,0.15,5,4,1
85.800000,0.09999999999999999,4,4,1
85.900000,0.09999999999999999,4,6,2
86.000000,0.09999999999999999,4,4,1
86.100000,0.15,5,4,1
86.250000,0.15,4,4,1
86.400000,0.15,5,6,2
86.550000,0.15,4,6,2
86.700000,0.15,3,4,1
86.850000,0.15,4,6,2
87.000000,0.09999999999999999,3,4,1
87.100000,0.09999999999999999,3,6,2
87.200000,0.09999999999999999,3,4,1
87.300000,0.15,4,6,2
87.450000,0.15,3,4,1
87.600000,0.15,5,7,3
87.750000,0.15,4,6,2
87.900000,0.15,3,4,1
88.050000,0.15,4,6,2
88.200000,0.09999999999999999,3,4,1
88.300000,0.09999999999999999,3,6,2
88.400000,0.09999999999999999,3,4,1
88.500000,0.15,4,6,2
88.650000,0.15,3,4,1
88.800000,0.15,6,7,3
88.950000,0.15,5,6,2
89.100000,0.15,4,4,1
89.250000,0.15,5,6,2
89.400000,0.09999999999999999,4,4,1
89.500000,0.09999999999999999,4,6,2
89.600000,0.09999999999999999,4,4,1
89.700000,0.15,5,6,2
89.850000,0.15,4,4,1
90.000000,0.15,5,9,4
90.150000,0.15,4,8,3
90.300000,0.15,3,6,2
90.450000,0.15,4,8,3
90.600000,0.09999999999999999,3,6,2
90.700000,0.09999999999999999,3,8,3
90.800000,0.09999999999999999,3,6,2
90.900000,0.15,4,8,3
91.050000,0.15,3,6,2
91.200000,0.15,5,6,2
91.350000,0.15,4,6,2
91.500000,0.15,3,4,1
91.650000,0.15,4,6,2
91.800000,0.09999999999999999,3,4,1
91.900000,0.09999999999999999,3,6,2
92.000000,0.09999999999999999,3,4,1
92.100000,0.15,4,6,2
92.250000,0.15,3,4,1
92.400000,0.15,5,7,3
92.550000,0.15,4,6,2
92.700000,0.15,3,4,1
92.850000,0.15,4,6,2
93.000000,0.09999999999999999,3,4,1
93.100000,0.09999999999999999,3,6,2
93.200000,0.09999999999999999,3,4,1
93.300000,0.15,4,6,2
93.450000,0.15,3,4,1
93.600000,0.15,6,7,3
93.750000,0.15,5,6,2
93.900000,0.15,4,4,1
94.050000,0.15,5,6,2
94.200000,0.09999999999999999,4,4,1
94.300000,0.09999999999999999,4,6,2
94.400000,0.09999999999999999,4,4,1
94.500000,0.15,5,6,2
94.650000,0.15,4,4,1
94.800000,0.15,6,6,2
94.950000,0.15,5,4,1
95.100000,0.15,4,4,1
95.250000,0.15,5,4,1
95.400000,0.09999999999999999,4,4,1
95.500000,0.09999999999999999,4,6,2
95.600000,0.09999999999999999,4,4,1
95.700000,0.15,5,4,1
95.850000,0.15,4,4,1
96.000000,0.15,2,9,4
96.000000,0.15,3,9,2
96.000000,0.15,4,9,2
96.150000,0.15,2,9,4
96.150000,0.15,3,9,2
96.150000,0.15,4,9,2
96.300000,0.15,2,9,4
96.300000,0.15,3,9,2
96.300000,0.15,4,9,2
96.450000,0.15,2,9,2
96.450000,0.15,3,9,2
96.450000,0.15,4,9,4
96.600000,0.15,2,9,4
96.600000,0.15,3,9,2
96.600000,0.15,4,9,2
96.750000,0.15,2,9,4
96.750000,0.15,3,9,2
96.750000,0.15,4,9,2
96.900000,0.15,2,9,4
96.900000,0.15,3,9,2
96.900000,0.15,4,9,2
97.050000,0.15,2,9,2
97.050000,0.15,3,9,2
97.050000,0.15,4,9,4
97.200000,0.15,2,9,4
97.200000,0.15,3,9,2
97.200000,0.15,4,9,2
97.350000,0.15,2,9,4
97.350000,0.15,3,9,2
97.350000,0.15,4,9,2
97.500000,0.15,2,9,4
97.500000,0.15,3,9,2
97.500000,0.15,4,9,2
97.650000,0.15,2,9,2
97.650000,0.15,3,9,2
97.650000,0.15,4,9,4
97.800000,0.15,2,9,4
97.800000,0.15,3,9,2
97.800000,0.15,4,9,2
97.950000,0.15,2,9,4
97.950000,0.15,3,9,2
97.950000,0.15,4,9,2
98.100000,0.15,2,9,4
98.100000,0.15,3,9,2
98.100000,0.15,4,9,2
98.250000,0.15,2,9,2
98.250000,0.15,3,9,2
98.250000,0.15,4,9,4
98.400000,0.15,2,9,4
98.400000,0.15,3,9,2
98.400000,0.15,4,9,2
98.550000,0.15,2,9,4
98.550000,0.15,3,9,2
98.550000,0.15,4,9,2
98.700000,0.15,2,9,4
98.700000,0.15,3,9,2
98.700000,0.15,4,9,2
98.850000,0.15,2,9,2
98.850000,0.15,3,9,2
98.850000,0.15,4,9,4
